country,year,sex,gender_female,gender_male,age,suicides,population,na.rm
Virgin Islands (USA),1980,female,female,male,15-24 years,0,8900,TRUE
Virgin Islands (USA),1980,female,female,male,25-34 years,0,8100,TRUE
Virgin Islands (USA),1980,female,female,male,35-54 years,0,10600,TRUE
Virgin Islands (USA),1980,female,female,male,5-14 years,0,12100,TRUE
Virgin Islands (USA),1980,female,female,male,55-74 years,0,4600,TRUE
Virgin Islands (USA),1980,female,female,male,75+ years,0,800,TRUE
Virgin Islands (USA),1980,male,female,male,15-24 years,2,7900,TRUE
Virgin Islands (USA),1980,male,female,male,25-34 years,0,6700,TRUE
Virgin Islands (USA),1980,male,female,male,35-54 years,1,9600,TRUE
Virgin Islands (USA),1980,male,female,male,5-14 years,0,12000,TRUE
Virgin Islands (USA),1980,male,female,male,55-74 years,0,4000,TRUE
Virgin Islands (USA),1980,male,female,male,75+ years,0,500,TRUE
Virgin Islands (USA),1981,female,female,male,15-24 years,NA,10100,TRUE
Virgin Islands (USA),1981,female,female,male,25-34 years,NA,6900,TRUE
Virgin Islands (USA),1981,female,female,male,35-54 years,NA,8600,TRUE
Virgin Islands (USA),1981,female,female,male,5-14 years,NA,12000,TRUE
Virgin Islands (USA),1981,female,female,male,55-74 years,NA,4600,TRUE
Virgin Islands (USA),1981,female,female,male,75+ years,NA,1100,TRUE
Virgin Islands (USA),1981,male,female,male,15-24 years,NA,10500,TRUE
Virgin Islands (USA),1981,male,female,male,25-34 years,NA,6800,TRUE
Virgin Islands (USA),1981,male,female,male,35-54 years,NA,8000,TRUE
Virgin Islands (USA),1981,male,female,male,5-14 years,NA,12500,TRUE
Virgin Islands (USA),1981,male,female,male,55-74 years,NA,3800,TRUE
Virgin Islands (USA),1981,male,female,male,75+ years,NA,600,TRUE
Virgin Islands (USA),1982,female,female,male,15-24 years,NA,11800,TRUE
Virgin Islands (USA),1982,female,female,male,25-34 years,NA,8000,TRUE
Virgin Islands (USA),1982,female,female,male,35-54 years,NA,10100,TRUE
Virgin Islands (USA),1982,female,female,male,5-14 years,NA,14000,TRUE
Virgin Islands (USA),1982,female,female,male,55-74 years,NA,5500,TRUE
Virgin Islands (USA),1982,female,female,male,75+ years,NA,1300,TRUE
Virgin Islands (USA),1982,male,female,male,15-24 years,NA,12300,TRUE
Virgin Islands (USA),1982,male,female,male,25-34 years,NA,7800,TRUE
Virgin Islands (USA),1982,male,female,male,35-54 years,NA,9600,TRUE
Virgin Islands (USA),1982,male,female,male,5-14 years,NA,14600,TRUE
Virgin Islands (USA),1982,male,female,male,55-74 years,NA,4500,TRUE
Virgin Islands (USA),1982,male,female,male,75+ years,NA,700,TRUE
Virgin Islands (USA),1997,female,female,male,15-24 years,0,7767,TRUE
Virgin Islands (USA),1997,female,female,male,25-34 years,0,7715,TRUE
Virgin Islands (USA),1997,female,female,male,35-54 years,0,16085,TRUE
Virgin Islands (USA),1997,female,female,male,5-14 years,0,9406,TRUE
Virgin Islands (USA),1997,female,female,male,55-74 years,0,7884,TRUE
Virgin Islands (USA),1997,female,female,male,75+ years,0,1495,TRUE
Virgin Islands (USA),1997,male,female,male,15-24 years,0,7206,TRUE
Virgin Islands (USA),1997,male,female,male,25-34 years,0,6723,TRUE
Virgin Islands (USA),1997,male,female,male,35-54 years,2,14363,TRUE
Virgin Islands (USA),1997,male,female,male,5-14 years,0,9090,TRUE
Virgin Islands (USA),1997,male,female,male,55-74 years,1,7679,TRUE
Virgin Islands (USA),1997,male,female,male,75+ years,0,1347,TRUE
Virgin Islands (USA),1998,female,female,male,15-24 years,0,7650,TRUE
Virgin Islands (USA),1998,female,female,male,25-34 years,0,7664,TRUE
Virgin Islands (USA),1998,female,female,male,35-54 years,0,16310,TRUE
Virgin Islands (USA),1998,female,female,male,5-14 years,0,9589,TRUE
Virgin Islands (USA),1998,female,female,male,55-74 years,0,8233,TRUE
Virgin Islands (USA),1998,female,female,male,75+ years,0,1569,TRUE
Virgin Islands (USA),1998,male,female,male,15-24 years,2,7062,TRUE
Virgin Islands (USA),1998,male,female,male,25-34 years,1,6619,TRUE
Virgin Islands (USA),1998,male,female,male,35-54 years,1,14490,TRUE
Virgin Islands (USA),1998,male,female,male,5-14 years,0,9384,TRUE
Virgin Islands (USA),1998,male,female,male,55-74 years,1,8087,TRUE
Virgin Islands (USA),1998,male,female,male,75+ years,0,1403,TRUE
Virgin Islands (USA),1999,female,female,male,15-24 years,0,7578,TRUE
Virgin Islands (USA),1999,female,female,male,25-34 years,0,7558,TRUE
Virgin Islands (USA),1999,female,female,male,35-54 years,0,16497,TRUE
Virgin Islands (USA),1999,female,female,male,5-14 years,0,9776,TRUE
Virgin Islands (USA),1999,female,female,male,55-74 years,0,8614,TRUE
Virgin Islands (USA),1999,female,female,male,75+ years,0,1652,TRUE
Virgin Islands (USA),1999,male,female,male,15-24 years,2,7002,TRUE
Virgin Islands (USA),1999,male,female,male,25-34 years,0,6457,TRUE
Virgin Islands (USA),1999,male,female,male,35-54 years,4,14587,TRUE
Virgin Islands (USA),1999,male,female,male,5-14 years,0,9677,TRUE
Virgin Islands (USA),1999,male,female,male,55-74 years,0,8524,TRUE
Virgin Islands (USA),1999,male,female,male,75+ years,0,1458,TRUE
Virgin Islands (USA),2000,female,female,male,15-24 years,0,7566,TRUE
Virgin Islands (USA),2000,female,female,male,25-34 years,0,7364,TRUE
Virgin Islands (USA),2000,female,female,male,35-54 years,0,16602,TRUE
Virgin Islands (USA),2000,female,female,male,5-14 years,0,9845,TRUE
Virgin Islands (USA),2000,female,female,male,55-74 years,0,9006,TRUE
Virgin Islands (USA),2000,female,female,male,75+ years,0,1725,TRUE
Virgin Islands (USA),2000,male,female,male,15-24 years,0,7034,TRUE
Virgin Islands (USA),2000,male,female,male,25-34 years,1,6200,TRUE
Virgin Islands (USA),2000,male,female,male,35-54 years,3,14621,TRUE
Virgin Islands (USA),2000,male,female,male,5-14 years,0,9816,TRUE
Virgin Islands (USA),2000,male,female,male,55-74 years,1,8960,TRUE
Virgin Islands (USA),2000,male,female,male,75+ years,0,1515,TRUE
Virgin Islands (USA),2001,female,female,male,15-24 years,0,7791,TRUE
Virgin Islands (USA),2001,female,female,male,25-34 years,0,7210,TRUE
Virgin Islands (USA),2001,female,female,male,35-54 years,0,16605,TRUE
Virgin Islands (USA),2001,female,female,male,5-14 years,0,9570,TRUE
Virgin Islands (USA),2001,female,female,male,55-74 years,0,9401,TRUE
Virgin Islands (USA),2001,female,female,male,75+ years,0,1817,TRUE
Virgin Islands (USA),2001,male,female,male,15-24 years,1,7263,TRUE
Virgin Islands (USA),2001,male,female,male,25-34 years,1,6079,TRUE
Virgin Islands (USA),2001,male,female,male,35-54 years,0,14599,TRUE
Virgin Islands (USA),2001,male,female,male,5-14 years,0,9563,TRUE
Virgin Islands (USA),2001,male,female,male,55-74 years,0,9354,TRUE
Virgin Islands (USA),2001,male,female,male,75+ years,2,1579,TRUE
Virgin Islands (USA),2002,female,female,male,15-24 years,1,7955,TRUE
Virgin Islands (USA),2002,female,female,male,25-34 years,0,7037,TRUE
Virgin Islands (USA),2002,female,female,male,35-54 years,0,16524,TRUE
Virgin Islands (USA),2002,female,female,male,5-14 years,0,9257,TRUE
Virgin Islands (USA),2002,female,female,male,55-74 years,0,9818,TRUE
Virgin Islands (USA),2002,female,female,male,75+ years,0,1885,TRUE
Virgin Islands (USA),2002,male,female,male,15-24 years,0,7401,TRUE
Virgin Islands (USA),2002,male,female,male,25-34 years,0,5951,TRUE
Virgin Islands (USA),2002,male,female,male,35-54 years,1,14536,TRUE
Virgin Islands (USA),2002,male,female,male,5-14 years,0,9297,TRUE
Virgin Islands (USA),2002,male,female,male,55-74 years,0,9742,TRUE
Virgin Islands (USA),2002,male,female,male,75+ years,0,1645,TRUE
Virgin Islands (USA),2003,female,female,male,15-24 years,0,8020,TRUE
Virgin Islands (USA),2003,female,female,male,25-34 years,0,6877,TRUE
Virgin Islands (USA),2003,female,female,male,35-54 years,1,16390,TRUE
Virgin Islands (USA),2003,female,female,male,5-14 years,0,8916,TRUE
Virgin Islands (USA),2003,female,female,male,55-74 years,0,10238,TRUE
Virgin Islands (USA),2003,female,female,male,75+ years,0,1940,TRUE
Virgin Islands (USA),2003,male,female,male,15-24 years,2,7425,TRUE
Virgin Islands (USA),2003,male,female,male,25-34 years,2,5841,TRUE
Virgin Islands (USA),2003,male,female,male,35-54 years,2,14433,TRUE
Virgin Islands (USA),2003,male,female,male,5-14 years,0,9021,TRUE
